OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GAOFEN-4,2015-083A,2026-07-13T16:26:26.113344,1.00274923,.00039405,0.4223,83.7871,124.9375,75.1281,0,U,41194,999,3879,0,-.34E-5,0
JASON-3,2016-002A,2026-07-15T04:43:35.042304,12.87628659,.0008181,66.0416,66.9487,270.9589,89.0492,0,U,41240,999,49085,.16043E-3,-.22E-6,0
SENTINEL-3A,2016-011A,2026-07-15T04:45:39.732192,14.26739765,.000136,98.6238,263.1778,89.8744,270.2592,0,U,41335,999,54205,.36608E-4,.45E-6,0
ZIYUAN 3-02 (ZY 3-02),2016-033A,2026-07-15T05:01:50.666880,15.21434379,.0014079,97.3829,271.4450,184.8524,175.2578,0,U,41556,999,56224,.13231E-3,.2909E-4,0
CARTOSAT-2C,2016-040A,2026-07-15T04:25:52.616928,15.19264086,.0009554,97.4469,255.7752,44.8870,315.3136,0,U,41599,999,55796,.12673E-3,.2606E-4,0
SKYSAT-C1,2016-040C,2026-07-15T00:35:07.207872,15.36746159,.0000285,96.9548,226.2409,314.5309,45.5913,0,U,41601,999,56214,.14384E-3,.5088E-4,0
LAPAN-A3,2016-040E,2026-07-15T04:33:46.266912,15.33277755,.000825,97.1505,191.4207,276.2287,83.8016,0,U,41603,999,55910,.592E-4,.183E-4,0
GAOFEN-3,2016-049A,2026-07-15T04:22:08.569632,14.42218984,.0001779,98.4010,203.5457,84.9356,275.2037,0,U,41727,999,52268,.4097E-4,.92E-6,0
SKYSAT-C4,2016-058B,2026-07-15T01:05:17.090016,15.49433812,.0003463,96.9160,216.6654,118.3684,241.7918,0,U,41771,999,54978,.19415E-3,.10582E-3,0
SKYSAT-C5,2016-058C,2026-07-15T01:56:20.855616,15.33718331,.0002531,97.0454,235.4703,160.8664,199.2675,0,U,41772,999,54802,.13099E-3,.4197E-4,0
SKYSAT-C2,2016-058D,2026-07-15T00:38:38.302944,15.42678065,.0001519,97.0156,217.0836,354.7019,5.4213,0,U,41773,999,54934,.16515E-3,.7118E-4,0
SKYSAT-C3,2016-058E,2026-07-15T00:59:04.070976,15.53702651,.0002516,96.8991,225.8356,132.0460,228.1009,0,U,41774,999,55043,.23177E-3,.14739E-3,0
ALSAT-1B,2016-059C,2026-07-15T04:09:02.131776,14.72293333,.0010304,97.7749,203.7290,129.8747,230.3369,0,U,41785,999,52469,-.50905E-5,-.79E-6,0
